id,nib,mitra,kategori_mitra,badan_mitra,kriteria_mitra,klasifikasi_mitra,klbi,tanggal_pendirian,alamat,negara_mitra,provinsi_mitra,kabupaten_kota_mitra,email,telepon,kodepos,website,logo,profil,sub_kategori_mitra
2429d6e1,,INCASI RAYA GROUP,Perusahaan nasional berstandar tinggi,,Perusahaan Nasional Berstandar Tinggi,"Pertanian, kehutanan, dan perikanan",,,Jalan Diponegoro No. 7,INDONESIA,Sumatera Barat,Kota Padang,,,,,,,
aa34672f,,PT. BUMIPUTERA SEKURITAS,Perusahaan nasional berstandar tinggi,,Perusahaan Nasional Berstandar Tinggi,Aktivitas keuangan dan asuransi,,,Jalan Jenderal Sudirman Kav. 17,INDONESIA,DKI Jakarta,Kota Jakarta Selatan,,,,,,,
8ca859ca,,PT. BURSA EFEK INDONESIA,Institusi/ Organisasi multilateral,,Institusi Atau Organisasi Multilateral,,,,"Jalan Jenderal Sudirman Kav. 52-53, Gedung Bursa Efek Indonesia Tower I, Lantai 6",INDONESIA,DKI Jakarta,Kota Jakarta Selatan,,,,,,,
f0d1dc98,,PT. SUMBER ALAM PONTIANAK,Perusahaan nasional berstandar tinggi,,Perusahaan Nasional Berstandar Tinggi,Industri pengolahan,,,Jalan Gusti Situt Mahmud,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
4771b6f0,,INSTITUT PERTANIAN BOGOR,Perguruan tinggi yang masuk dalam daftar QS200 berdasarkan bidang ilmu (subject),NEGERI,Perguruan Tinggi Yang Masuk Dalam Daftar QS200 Berdasarkan Bidang Ilmu (QS200 By Subject),,,,Kampur IPB Darmaga,INDONESIA,Jawa Barat,Bogor,,,,,,,
7d5d2675,,KEMENTERIAN PERINDUSTRIAN REPUBLIK INDONESIA,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Kementerian / Lembaga Pemerintah Pusat,,,Jl. Gatot Subroto,INDONESIA,DKI Jakarta,Kota Jakarta Selatan,,,,,,,
5d79d7ec,,KEMENTERIAN PERTANIAN REPUBLIK INDONESIA,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Kementerian / Lembaga Pemerintah Pusat,,,Jalan Harsono RM Nomor 3 Ragunan,INDONESIA,DKI Jakarta,Kota Jakarta Selatan,,,,,,,
fd363d5f,,PEMERINTAH PROVINSI KALIMANTAN BARAT,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Provinsi,,,Jalan Ahmad Yani,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
427270fc,,PT. SEJAHTERA,Perusahaan nasional berstandar tinggi,,Perusahaan Nasional Berstandar Tinggi,Pertambangan dan penggalian,,,Jalan Jurusan Mempawah No. 18,INDONESIA,Kalimantan Barat,Mempawah,,,,,,,
ad4765cd,,PEMERINTAH KABUPATEN SANGGAU,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Kota/Kabupaten,,,"Jl. Jend. Sudirman No.1, RT.1/RW.4",INDONESIA,Kalimantan Barat,Sanggau,,,,,,,
68411442,,SEKRETARIAT DAERAH KABUPATEN SANGGAU,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,,,,Jalan Jenderal Sudirman No.1,INDONESIA,Kalimantan Barat,Sanggau,,,,,,,
82680f9b,,DINAS KESEHATAN KOTA PONTIANAK,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Kota/Kabupaten,,,Jalan Ahmad Yani,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
23edc1e0,,"GUIYANG VOCATIONAL AND TECHNICAL COLLEGE, P.R. China","Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,CHINA,,,,,,,,,
bcbfa12c,,"GUIZHOU INSTITUTE OF TECHNOLOGY, P.R. CHINA","Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,CHINA,,,,,,,,,
1453e4a2,,"GUIZHOU JIAO TONG COLLEGE, P.R. CHINA","Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,CHINA,,,,,,,,,
8f6cb983,,"GUIZHOU POLYTECHNIC OF CONSTRUCTION, P.R. CHINA","Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,CHINA,,,,,,,,,
4a7cfeca,,UNIVERSITE DE CERGY-PONTOISE,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,FRANCE,,,,,,,,,
82c4516a,,PERKUMPULAN MASYARAKAT BAJA INDONESIA,Organisasi,,Asosiasi Dalam Negeri,,,,"Jl. Jarakosta, RT. 05/02, Gedung GSC, Lt. 3",INDONESIA,Jawa Barat,Bekasi,info@ambi-online.com,082243741231,,,,,
4a140f10,,PT. BANK RAKYAT INDONESIA SYARIAH CABANG PONTIANAK,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,BUMN,Aktivitas keuangan dan asuransi,,,Jl. Gusti Sulung Lelanang Komp. Pontianak Mall,INDONESIA,Kalimantan Barat,Kota Pontianak,,0561737433,,,,,
006f1bb8,,BANK SYARIAH MANDIRI AREA PONTIANAK,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,BUMN,Aktivitas keuangan dan asuransi,,,"Jl. Slt. Abdurrahman No.23, Sungai Bangkong, Kec. Pontianak Kota",INDONESIA,Kalimantan Barat,Kota Pontianak,,0561745004,,,,,
ee558f08,,SEKRETARIAT DAERAH KABUPATEN MEMPAWAH,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Kota/Kabupaten,,,Jalan Daeng Manambon,INDONESIA,Kalimantan Barat,Mempawah,,,,,,,
5e7a3ad0,,UNIVERSITE LILLE SCIENCES ET TECHNOLOGIES,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,FRANCE,,,,,,,,,
c6e53f66,,UNIVERSITE DE LORRAINE,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,FRANCE,,,,,,,,,
587109a7,,UNIVERSITE DU LITTORAL COTE d'OPALE,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,1 Place de l'Yser - BP 71022 - 59 140 Dunkerque,FRANCE,,,,,,,,,
a230cb88,,UNIVERSITE D'ARTOIS,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,FRANCE,,,,,,,,,
aae43369,,"TONGREN POLYTECHNIC COLLEGE, P.R. CHINA","Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,CHINA,,,,,,,,,
a93d8d65,,SEKOLAH TINGGI ILMU EKONOMI INDONESIA PONTIANAK,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",SWASTA,"Perguruan Tinggi, Fakultas, Atau Program Studi Dalam Bidang Yang Relevan",,,,Jalan Imam Bonjol No. 82-88,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
91146e8f,,SEKOLAH TINGGI BAHASA ASING PONTIANAK,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",SWASTA,"Perguruan Tinggi, Fakultas, Atau Program Studi Dalam Bidang Yang Relevan",,,,Jalan Imam Bonjol No. 82-88,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
b4949465,,AKADEMI SEKRETARI MANAJEMEN INDONESIA PONTIANAK,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",SWASTA,"Perguruan Tinggi, Fakultas, Atau Program Studi Dalam Bidang Yang Relevan",,,,Jl. Imam Bonjol KM.2 No.82,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
989b0b05,,KANWIL DJP KALIMANTAN BARAT,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Provinsi,,,Jalan Jenderal A. Yani Nomor 1,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
46ee0b60,,"DINAS PEKERJAAN UMUM, BINA MARGA, DAN SUMBER DAYA AIR KABUPATEN KAPUAS HULU",Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Kota/Kabupaten,,,Jalan Lingkar Mupa Transmigrasi Desa Pala Pulau,INDONESIA,Kalimantan Barat,Kapuas Hulu,,,,,,,
88073994,,HOME INDUSTRI KRUPUK BASAH ASYIFA,Dunia Usaha,,UMKM,,,,Desa Suka Maju,INDONESIA,Kalimantan Barat,Kapuas Hulu,,,,,,,
757d075c,,DIREKTORAT PENGEMBANGAN JARINGAN JALAN DIREKTORAT JENDERAL BINA MARGA KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Kementerian / Lembaga Pemerintah Pusat,,,Jalan Pattimura 20 Gd. Bina Marga Lt. 5 Kebayoran Baru,INDONESIA,DKI Jakarta,Kota Jakarta Selatan,,,,,,,
ee23f76c,,SUB DIREKTORAT ANALISA DATA DAN PENGEMBANGAN SISTEM DIREKTORAT PENGEMBANGAN JARINGAN JALAN DIREKTORAT JENDERAL BINA MARGA,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Kementerian / Lembaga Pemerintah Pusat,,,,INDONESIA,DKI Jakarta,,,,,,,,
